"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"LipidRegulatingMed"
"23634"	"GEMFIBROZIL"	"Gemfibrozil"	NA	NA	NA	"00000000"	"Gemfibrozil"
"24009"	"NICOTINIC ACID 500 MG TAB"	"Nicotinic acid"	NA	"Tablet"	"Oral"	"00000000"	"Nicotinic acid"
"24084"	"Colestyramine 4g oral powder sachets sugar free (PLIVA Pharma Ltd)"	"Colestyramine"	"4gram"	"Powder"	"Oral"	"01090200/02120100"	"Colestyramine"
"24509"	"SIMVASTATIN"	"Simvastatin"	NA	NA	NA	"00000000"	"Simvastatin"
"24583"	"Nicotinic acid 750mg modified-release tablets"	"Nicotinic acid"	"750mg"	"Modified-release tablet"	"Oral"	"02120500"	"Nicotinic acid"
"25018"	"BEZAFIBRATE"	"Bezafibrate"	NA	NA	NA	"00000000"	"Bezafibrate"
"29213"	"Bezagen XL 400mg tablets (Mylan)"	"Bezafibrate"	"400mg"	"Modified-release tablet"	"Oral"	"02120300"	"Bezafibrate"
"29328"	"Bezafibrate 200mg tablets (A A H Pharmaceuticals Ltd)"	"Bezafibrate"	"200mg"	"Tablet"	"Oral"	"02120300"	"Bezafibrate"
"29438"	"SIMVASTATIN"	"Simvastatin"	NA	NA	NA	"00000000"	"Simvastatin"
"30618"	"Estroven Tablet (Estroven Ltd)"	"Nicotinic acid"	NA	"Tablet"	"Oral"	"09060750"	"Nicotinic acid"
"31221"	"Bezafibrate 200mg tablets (Mylan)"	"Bezafibrate"	"200mg"	"Tablet"	"Oral"	"02120300"	"Bezafibrate"
"31658"	"Cerivastatin 800microgram tablets"	"Cerivastatin"	"800microgram"	"Tablet"	"Oral"	"00000000"	"Cerivastatin"
"31783"	"Fenogal 200mg capsules (Genus Pharmaceuticals Ltd)"	"Fenofibrate"	"200mg"	"Capsule"	"Oral"	"00000000"	"Fenofibrate"
