"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"35601"	"7F23z00"	72	0	4	0	"immediate repair of obstetric laceration nos"	"February 2009"
"27980"	"L166700"	70	0	1	0	"infections of the genital tract in pregnancy"	"February 2009"
"24006"	"L466100"	23	0	1	0	"galactorrhoea in pregnancy and the puerperium - delivered"	"February 2009"
"64289"	"L450.00"	70	0	0	0	"obstetric nipple infection"	"February 2009"
"2638"	"L1...00"	11682	0	1103	5	"pregnancy complications"	"February 2009"
"116177"	"Q021y11"	1	0	0	0	"fetus or neonate affected by placental damage os"	"November 2022"
"99933"	"L092100"	4	0	0	0	"bowel damage following abortive pregnancy"	"June 2010"
"41122"	"L10zz00"	990	0	11	0	"early pregnancy haemorrhage nos"	"February 2009"
"112117"	"L096z00"	1	0	0	0	"embolism nos following abortive pregnancy"	"September 2017"
"13700"	"ZL5D100"	2214	0	3934	0	"referral to obstetrician"	"February 2009"
"40204"	"444Z.00"	0	0	0	121	"feto/placental hormones nos"	"February 2009"
"112141"	"Lyu0A00"	1	0	0	0	"[x]other complications follow abortn+ectopic+molar pregnancy"	"September 2017"
"94808"	"Q017600"	1	0	0	0	"fetus or neonate affected by face presentation before labour"	"February 2009"
"37348"	"Lyu2500"	100	0	1	0	"[x]other specified pregnancy-related conditions"	"February 2009"
"90885"	"Lyu4900"	1	0	0	0	"[x]labour+delivery complicated by other cord entanglement"	"February 2009"
"13317"	"27...00"	550110	0	1458	0	"obstetric examination"	"February 2009"
"96757"	"L411513"	56	0	0	0	"vulval varices in pregnancy"	"April 2009"
"59634"	"L411512"	39	0	1	0	"vaginal varices in pregnancy"	"February 2009"
"99237"	"L411511"	2	0	0	0	"perineal varices in pregnancy"	"April 2010"
"2564"	"7F21000"	3965	0	34	0	"manual removal of placenta from delivered uterus"	"February 2009"
"27451"	"L166000"	127	0	11	2	"genitourinary tract infection in pregnancy unspecified"	"February 2009"
"110628"	"L43y.11"	1	0	0	0	"fat embolism - obstetric"	"March 2016"
