"medcode"	"term"	"database"
"306088018"	"infections of urethra in pregnancy"	"Aurum"
"306108017"	"diabetes mellitus during pregnancy - baby delivered"	"Aurum"
"306110015"	"diabetes mellitus during pregnancy - baby not yet delivered"	"Aurum"
"306120013"	"thyroid dysfunction during pregnancy - baby delivered"	"Aurum"
"306129014"	"anaemia during pregnancy - baby delivered"	"Aurum"
"306133019"	"anaemia during pregnancy - baby not yet delivered"	"Aurum"
"306137018"	"iron deficiency anaemia of pregnancy"	"Aurum"
"306138011"	"anaemia during pregnancy/childbirth/puerperium nos"	"Aurum"
"306144010"	"drug dependence during pregnancy - baby delivered"	"Aurum"
"306146012"	"drug dependence during pregnancy - baby not yet delivered"	"Aurum"
"306151018"	"mental disorder during pregnancy - baby delivered"	"Aurum"
"306153015"	"mental disorder during pregnancy - baby not yet delivered"	"Aurum"
"306179012"	"orthopaedic disorder during pregnancy - baby delivered"	"Aurum"
"306203018"	"medical condition nos during pregnancy - baby delivered"	"Aurum"
"306208010"	"complications specific to multiple gestation"	"Aurum"
"306209019"	"continuing pregnancy after abortion of one fetus or more"	"Aurum"
"306210012"	"continuing pregnancy after intrauterine death one fetus or more"	"Aurum"
"306216018"	"risk factors in pregnancy"	"Aurum"
"306220019"	"normal delivery but antenatal or postnatal conditions present"	"Aurum"
"306221015"	"normal delivery in completely normal case nos"	"Aurum"
"306222010"	"twin pregnancy unspecified"	"Aurum"
"306223017"	"twin pregnancy - delivered"	"Aurum"
"306224011"	"twin pregnancy with antenatal problem"	"Aurum"
"306225012"	"twin pregnancy nos"	"Aurum"
"306226013"	"triplet pregnancy unspecified"	"Aurum"
"306227016"	"triplet pregnancy - delivered"	"Aurum"
"306228014"	"triplet pregnancy with antenatal problem"	"Aurum"
"306229018"	"triplet pregnancy nos"	"Aurum"
"306230011"	"quadruplet pregnancy unspecified"	"Aurum"
"306231010"	"quadruplet pregnancy - delivered"	"Aurum"
"306232015"	"quadruplet pregnancy with antenatal problem"	"Aurum"
"306233013"	"quadruplet pregnancy nos"	"Aurum"
"306235018"	"multiple delivery, all spontaneous"	"Aurum"
"306236017"	"multiple delivery, all by forceps and vacuum extractor"	"Aurum"
"306237014"	"multiple delivery, all by caesarean section"	"Aurum"
"306239012"	"other multiple pregnancy"	"Aurum"
"306240014"	"other multiple pregnancy unspecified"	"Aurum"
"306241013"	"other multiple pregnancy - delivered"	"Aurum"
"306242018"	"other multiple pregnancy with antenatal problem"	"Aurum"
"306243011"	"other multiple pregnancy nos"	"Aurum"
"306244017"	"multiple pregnancy nos"	"Aurum"
"306245016"	"multiple pregnancy nos, unspecified"	"Aurum"
"306246015"	"multiple pregnancy nos - delivered"	"Aurum"
